Key,Id,English(en),Italian(it),Spanish(es)
"Bed",94198816768,"Too soft, too enveloping... I don’t want to get up.","Troppo morbido, troppo avvolgente... non voglio alzarmi.","Demasiado suave, demasiado envolvente... no quiero levantarme."
"Settings",1399371877834752,"Settings","Impostazioni","Opciones"
"Language",1402210666668032,"Language","Lingue","Idioma"
"Start",1402345610010624,"Start","Inizia","Iniciar"
"Quit",1402420016963584,"Quit","Esci","Cerrar"
"Close",1409510345269248,"Close","Chiudi","Cerrar"
"Cat",1771908071677952,"I left you without food again... I'm sorry.","Ti ho lasciato senza cibo di nuovo... mi dispiace.","Te dejé sin comida otra vez... lo siento."
"Drug",1773525143642112,"Iron supplements, vitamins... I take them, but do they really help?"," Integratori di ferro, vitamine... li prendo, ma aiutano davvero?","Suplementos de hierro, vitaminas... los tomo, pero ¿realmente ayudan?"
"Fridge",1774559781969920,"Only water. Perfect.","Solo acqua. Perfetto.","Solo agua. Perfecto."
"Paint",1774736135675904,"I should paint. But I can't even think.","Dovrei dipingere. Ma non riesco nemmeno a pensare.","Debería pintar. Pero ni siquiera puedo pensar."
"Recorder",1774976356048896,"I don’t listen to music anymore... It was too comforting.","Non ascolto più musica... Era troppo confortante.","Ya no escucho música... Era demasiado reconfortante."
"Shower",1775080999739392,"Hot water sometimes makes me feel lighter."," L'acqua calda a volte mi fa sentire più leggera.","El agua caliente a veces me hace sentir más ligera."
"Table",1775455676915712,"Too many dishes to wash. Maybe tomorrow.","Troppi piatti da lavare. Forse domani.","Demasiados platos para lavar. Tal vez mañana."
"Toilet",1775821172760576,"Sometimes I wonder... if my body could reject everything, maybe I’d feel better.","A volte mi chiedo... se il mio corpo potesse rifiutare tutto, forse mi sentirei meglio.","A veces me pregunto... si mi cuerpo pudiera rechazarlo todo, tal vez me sentiría mejor."
